#k-distance frequency[THz]
0.42725560 0.87519125
0.42988163 0.85795204
0.43250766 0.84040880
0.43513369 0.82271366
0.43775972 0.80520903
0.44038575 0.79087149
0.44301177 0.78250922
0.44563780 0.77556845
0.44563780 0.77556845
0.44823045 0.77621596
0.45082312 0.77815819
0.45341577 0.78139255
0.45600844 0.78590914
0.45860109 0.79168222
0.46119376 0.79865899
0.46378641 0.80674893
0.46637906 0.81581756
0.46897173 0.82568828
0.47156438 0.83615198
0.47415704 0.84698160
0.47674970 0.85794753
0.47934236 0.86883105
0.48193501 0.87943443
0.48452767 0.88958723
0.48712033 0.89914888
0.48971298 0.90800779
0.49230565 0.91607843
0.49489830 0.92329799
0.49749097 0.92962459
0.50008362 0.93503813
0.50267627 0.93954287
0.50526894 0.94316971
0.50786159 0.94597485
0.51045426 0.94803320
0.51304691 0.94942645
0.51563958 0.95022813
0.51823223 0.95048927
0.51823223 0.95048927
0.52084109 0.95010574
0.52344996 0.94896793
0.52605883 0.94711356
0.52866769 0.94460337
0.53127658 0.94151830
0.53388545 0.93795647
0.53649432 0.93403125
0.53910318 0.92987159
0.54171205 0.92562422
0.54432092 0.92145415
0.54692979 0.91753733
0.54953865 0.91404077
0.55214752 0.91109448
0.55475641 0.90876944
0.55736528 0.90707387
0.55997414 0.90596742
0.56258301 0.90538168
0.56519188 0.90523717
0.56780074 0.90545330
0.57040961 0.90595311
0.57301848 0.90666557
0.57562734 0.90752796
0.57823623 0.90849019
0.58084510 0.90952241
0.58345397 0.91062794
0.58606283 0.91186284
0.58867170 0.91336152
0.59128057 0.91535918
0.59388943 0.91818547
0.59649830 0.92219140
0.59910717 0.92760718
0.60171606 0.93441711
0.60432493 0.94235482
0.60693379 0.95100291
0.60954266 0.95990060
